Protein IDs	Peptides	Razor + unique peptides	Unique peptides	Score	Intensity	LFQ intensity KES1	LFQ intensity KES2	LFQ intensity KES3	LFQ intensity PBS1	LFQ intensity PBS2	LFQ intensity PBS3	LFQ intensity W1	LFQ intensity W2	LFQ intensity W3	Only identified by site	Reverse	Potential contaminant	id
1006551.KOX_03160;MH0247_GL0004400;290338.CKO_04473;NLM027_GL0034803	9	9	9	0.0	295250900	7078900	0	0	21957000	36095000	120490000	65247000	21585000	22798000				1
MH0260_GL0109467;1006551.KOX_23025;MH0277_GL0011541	16	3	1	0.0	55620300	2568400	0	0	6235100	7058200	12234000	10076000	9063300	8385300				2
1040964.LRU_02269;T2D-31A_GL0052950;O2.UC21-2_GL0111884;DLM027_GL0039888;908339.HMPREF9265_2035;V1.CD7-0-PN_GL0016810;MH0400_GL0078607	8	4	2	0.0	45109600	4741900	3496400	3850100	6413700	3231600	3427500	10737000	3564200	5647200				3
1042403.BALAC2494_00515;T2D-62A_GL0005714;O2.UC48-0_GL0199724	8	1	1	0.0	69081900	13761000	14324000	18810000	3648300	3429800	3375700	4292100	4116900	3324100				4
473819.BIFDEN_00537;MH0203_GL0262695;MH0161_GL0010124;1042403.BALAC2494_00886;T2D-106A_GL0060230;V1.CD1-0-PT_GL0057905;DLF012_GL0002347;391904.BLIJ_0194;V1.CD40-0_GL0033610;MH0230_GL0112753;V1.CD7-0-PN_GL0040545;V1.UC22-1_GL0032533;518635.BIFANG_03716;BGI-06A_GL0076547	2	2	2	0.0	11762200	2452500	1831400	2405100	1634300	2107900	0	1331000	0	0				5
1045856.EcWSU1_00345;V1.UC21-4_GL0025859;MH0247_GL0137574;NLM027_GL0059615;MH0008_GL0034235;V1.UC39-4_GL0050840;V1.CD3-0-PT_GL0043270;V1.CD3-0-PT_GL0073188;ED19A_GL0045897;T2D-192A_GL0011080;MH0277_GL0024341;V1.CD4-0-PT_GL0006366;SZEY-81A_GL0080218;MH0277_GL0043485;MH0006_GL0177863;159814214-stool2_revised_C668926_1_gene32745;MH0153_GL0051228;MH0400_GL0006117;MH0061_GL0025141;MH0272_GL0018225;MH0100_GL0095428;V1.CD9-0_GL0057668;MH0433_GL0002809;V1.CD3-0-PT_GL0077388	20	1	1	0.0	16687200	0	0	0	1681600	2239100	5420600	5423800	0	1922100				6
1045856.EcWSU1_00593;V1.FI24_GL0156766;T2D-108A_GL0102551;DOM005_GL0020236;SZEY-40A_GL0040958	5	1	1	0.0	28232100	0	0	0	4281700	4693400	6814600	5084300	3670600	3687500				7
V1.UC21-4_GL0146528;MH0354_GL0106559;1045856.EcWSU1_03945	1	1	1	0.0	0	0	0	0	0	0	0	0	0	0				8
158256496-stool1_revised_C845723_1_gene82637;MH0090_GL0099835;DOM005_GL0046434;MH0011_GL0068765;T2D-47A_GL0016998;159611913-stool2_revised_C531081_1_gene108567;MH0227_GL0102206;NLM007_GL0000994;MH0198_GL0101538;MH0367_GL0148270;MH0187_GL0082530;MH0145_GL0125972	3	1	0	0.0	71394600	10292000	16916000	18116000	3253700	4555000	4732800	4816600	4425200	4287300				9
158337416-stool2_revised_C1010220_1_gene49382;158256496-stool1_revised_C946671_1_gene138734;MH0369_GL0026310;MH0267_GL0123508	1	1	1	0.0	7791100	2773300	1064600	1704500	1064100	1184600	0	0	0	0				10
