Raw file	experiment	batch1	run_order
20171206_Rachid_Colon_M#44_5	12_Colon_M#44_5	B_12	106
20171206_Rachid_Colon_M#49	12_Colon_M#49	B_12	107
20171206_Rachid_Colon_M#55	12_Colon_M#55	B_12	108
20171206_Rachid_Colon_M#59_5	12_Colon_M#59_5	B_12	109
20171206_Rachid_Colon_M#62_5	12_Colon_M#62_5	B_12	110
20171206_Rachid_Colon_M#63	12_Colon_M#63	B_12	111
20171206_Rachid_Colon_M#70	12_Colon_M#70	B_12	112
20171206_Rachid_Colon_M#73_5	12_Colon_M#73_5	B_12	113
20171206_Rachid_Colon_M#74	12_Colon_M#74	B_12	114
20171206_Rachid_Colon_M#75	12_Colon_M#75	B_12	115
20171206_Rachid_Colon_M#76_5	12_Colon_M#76_5	B_12	116
20171206_Rachid_Colon_M#80	12_Colon_M#80	B_12	117
20170922_Rachid_Colon_M#01	09_Colon_M#01	B_09	1
20170922_Rachid_Colon_M#02	09_Colon_M#02	B_09	2
20170922_Rachid_Colon_M#03	09_Colon_M#03	B_09	3
20170922_Rachid_Colon_M#04	09_Colon_M#04	B_09	4
20170922_Rachid_Colon_M#05	09_Colon_M#05	B_09	5
20170922_Rachid_Colon_M#06	09_Colon_M#06	B_09	6
20170922_Rachid_Colon_M#07	09_Colon_M#07	B_09	7
20170922_Rachid_Colon_M#08	09_Colon_M#08	B_09	8
20170922_Rachid_Colon_M#09	09_Colon_M#09	B_09	9
20170922_Rachid_Colon_M#10	09_Colon_M#10	B_09	10
20170922_Rachid_Colon_M#11	09_Colon_M#11	B_09	11
20170922_Rachid_Colon_M#12	09_Colon_M#12	B_09	12
20170922_Rachid_Colon_M#13	09_Colon_M#13	B_09	13
20170922_Rachid_Colon_M#14	09_Colon_M#14	B_09	14
20170922_Rachid_Colon_M#15	09_Colon_M#15	B_09	15
20170922_Rachid_Colon_M#16	09_Colon_M#16	B_09	16
20170922_Rachid_Colon_M#17	09_Colon_M#17	B_09	17
